04.02.2025 20:42:24 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2013_BT_IEL_donnee.pdf
04.02.2025 20:42:24 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2013_BT_PELE_corrige.pdf
04.02.2025 20:42:25 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2013_BT_PELE_donnee.pdf
04.02.2025 20:42:25 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2013_BT_TLM_corrige.pdf
04.02.2025 20:42:25 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2013_BT_TLM_donnee.pdf
04.02.2025 20:42:26 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2013_DTno_ELM_corrige.pdf
04.02.2025 20:42:26 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2013_DTno_ELM_donnee.pdf
04.02.2025 20:42:26 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2013_DTno_IEL_corrige.pdf
04.02.2025 20:42:27 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2013_DTno_IEL_donnee.pdf
04.02.2025 20:42:27 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2013_DTpl_ELM_corrige.pdf
04.02.2025 20:42:27 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2013_DTpl_ELM_donnee.pdf
04.02.2025 20:42:27 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2013_DTpl_IEL_corrige.pdf
04.02.2025 20:42:28 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2013_DTpl_IEL_donnee.pdf
04.02.2025 20:42:28 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2013_DTsc_ELM_corrige.pdf
04.02.2025 20:42:28 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2013_DTsc_ELM_donnee.pdf
04.02.2025 20:42:28 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2013_DTsc_IEL_corrige.pdf
04.02.2025 20:42:29 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2013_DTsc_IEL_donnee.pdf
04.02.2025 20:42:29 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2013_DT_PELE_corrige.pdf
04.02.2025 20:42:30 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2013_DT_PELE_donnee.pdf
04.02.2025 20:42:30 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2013_DT_TLM_corrige.pdf
04.02.2025 20:42:31 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2013_DT_TLM_donnee.pdf
04.02.2025 20:42:32 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2013_TC_IEL_corrige.pdf
04.02.2025 20:42:32 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2013_TC_IEL_donnee.pdf
04.02.2025 20:42:32 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2013_TC_PELE_corrige.pdf
04.02.2025 20:42:32 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2013_TC_PELE_donnee.pdf
04.02.2025 20:42:33 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2013_TC_TLM_corrige.pdf
04.02.2025 20:42:34 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2013_TC_TLM_donnee.pdf
04.02.2025 20:42:34 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2013_TS_ELM_corrige.pdf
04.02.2025 20:42:35 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2013_TS_ELM_donnee.pdf
04.02.2025 20:42:35 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2013_TS_IEL_corrige.pdf
04.02.2025 20:42:35 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2013_TS_IEL_donnee.pdf
04.02.2025 20:42:36 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2013_TS_PELE_corrige.pdf
04.02.2025 20:42:36 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2013_TS_PELE_donnee.pdf
04.02.2025 20:42:37 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2013_TS_TLM_corrige.pdf
04.02.2025 20:42:37 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2013_TS_TLM_donnee.pdf
04.02.2025 20:42:38 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2014_BT_ELM_corrige.pdf
04.02.2025 20:42:38 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2014_BT_ELM_donnee.pdf
04.02.2025 20:42:38 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2014_BT_IEL_corrige.pdf
04.02.2025 20:42:39 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2014_BT_IEL_donnee.pdf
04.02.2025 20:42:39 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2014_BT_PELE_corrige.pdf
04.02.2025 20:42:39 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2014_BT_PELE_donnee.pdf
04.02.2025 20:42:39 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2014_BT_TLM_corrige.pdf
04.02.2025 20:42:40 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2014_BT_TLM_donnee.pdf
04.02.2025 20:42:40 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2014_DTno_ELM_corrige.pdf
04.02.2025 20:42:40 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2014_DTno_ELM_donnee.pdf
04.02.2025 20:42:41 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2014_DTno_IEL_corrige.pdf
04.02.2025 20:42:41 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2014_DTno_IEL_donnee.pdf
04.02.2025 20:42:41 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2014_DTpl_ELM_corrige.pdf
04.02.2025 20:42:42 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2014_DTpl_ELM_donnee.pdf
04.02.2025 20:42:42 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2014_DTpl_IEL_corrige.pdf
04.02.2025 20:42:42 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2014_DTpl_IEL_donnee.pdf
04.02.2025 20:42:43 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2014_DTsc_ELM_corrige.pdf
04.02.2025 20:42:43 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2014_DTsc_ELM_donnee.pdf
04.02.2025 20:42:43 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2014_DTsc_IEL_corrige.pdf
