04.02.2025 13:01:57 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2012_TC_IEL_corrige.pdf
04.02.2025 13:01:57 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2012_TC_IEL_donnee.pdf
04.02.2025 13:01:58 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2012_TC_PELE_corrige.pdf
04.02.2025 13:01:58 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2012_TC_PELE_donnee.pdf
04.02.2025 13:01:58 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2012_TR_TLM_corrige.pdf
04.02.2025 13:01:59 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2012_TR_TLM_donnee.pdf
04.02.2025 13:02:00 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2012_TS_ELM_corrige.pdf
04.02.2025 13:02:00 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2012_TS_ELM_donnee.pdf
04.02.2025 13:02:00 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2012_TS_IEL_corrige.pdf
04.02.2025 13:02:01 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2012_TS_IEL_donnee.pdf
04.02.2025 13:02:01 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2012_TS_PELE_corrige.pdf
04.02.2025 13:02:02 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2012_TS_PELE_donnee.pdf
04.02.2025 13:02:02 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2012_TS_TLM_corrige.pdf
04.02.2025 13:02:03 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2012_TS_TLM_donnee.pdf
04.02.2025 13:02:03 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2013_BT_ELM_corrige.pdf
04.02.2025 13:02:03 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2013_BT_ELM_donnee.pdf
04.02.2025 13:02:03 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2013_BT_IEL_corrige.pdf
04.02.2025 13:02:04 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2013_BT_IEL_donnee.pdf
04.02.2025 13:02:04 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2013_BT_PELE_corrige.pdf
04.02.2025 13:02:04 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2013_BT_PELE_donnee.pdf
04.02.2025 13:02:04 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2013_BT_TLM_corrige.pdf
04.02.2025 13:02:05 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2013_BT_TLM_donnee.pdf
04.02.2025 13:02:05 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2013_DTno_ELM_corrige.pdf
04.02.2025 13:02:05 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2013_DTno_ELM_donnee.pdf
04.02.2025 13:02:06 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2013_DTno_IEL_corrige.pdf
04.02.2025 13:02:06 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2013_DTno_IEL_donnee.pdf
04.02.2025 13:02:06 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2013_DTpl_ELM_corrige.pdf
04.02.2025 13:02:06 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2013_DTpl_ELM_donnee.pdf
04.02.2025 13:02:06 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2013_DTpl_IEL_corrige.pdf
04.02.2025 13:02:07 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2013_DTpl_IEL_donnee.pdf
04.02.2025 13:02:07 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2013_DTsc_ELM_corrige.pdf
04.02.2025 13:02:07 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2013_DTsc_ELM_donnee.pdf
04.02.2025 13:02:07 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2013_DTsc_IEL_corrige.pdf
04.02.2025 13:02:08 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2013_DTsc_IEL_donnee.pdf
04.02.2025 13:02:08 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2013_DT_PELE_corrige.pdf
04.02.2025 13:02:08 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2013_DT_PELE_donnee.pdf
04.02.2025 13:02:09 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2013_DT_TLM_corrige.pdf
04.02.2025 13:02:09 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2013_DT_TLM_donnee.pdf
04.02.2025 13:02:10 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2013_TC_IEL_corrige.pdf
04.02.2025 13:02:10 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2013_TC_IEL_donnee.pdf
04.02.2025 13:02:10 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2013_TC_PELE_corrige.pdf
04.02.2025 13:02:11 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2013_TC_PELE_donnee.pdf
04.02.2025 13:02:11 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2013_TC_TLM_corrige.pdf
04.02.2025 13:02:12 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2013_TC_TLM_donnee.pdf
04.02.2025 13:02:12 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2013_TS_ELM_corrige.pdf
04.02.2025 13:02:13 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2013_TS_ELM_donnee.pdf
04.02.2025 13:02:13 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2013_TS_IEL_corrige.pdf
04.02.2025 13:02:13 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2013_TS_IEL_donnee.pdf
04.02.2025 13:02:14 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2013_TS_PELE_corrige.pdf
04.02.2025 13:02:14 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2013_TS_PELE_donnee.pdf
04.02.2025 13:02:15 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2013_TS_TLM_corrige.pdf
04.02.2025 13:02:15 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2013_TS_TLM_donnee.pdf
04.02.2025 13:02:16 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2014_BT_ELM_corrige.pdf
04.02.2025 13:02:16 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2014_BT_ELM_donnee.pdf
04.02.2025 13:02:16 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2014_BT_IEL_corrige.pdf
04.02.2025 13:02:17 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2014_BT_IEL_donnee.pdf
04.02.2025 13:02:17 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2014_BT_PELE_corrige.pdf
04.02.2025 13:02:17 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2014_BT_PELE_donnee.pdf
04.02.2025 13:02:17 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2014_BT_TLM_corrige.pdf
04.02.2025 13:02:18 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2014_BT_TLM_donnee.pdf
04.02.2025 13:02:18 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2014_DTno_ELM_corrige.pdf
04.02.2025 13:02:19 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2014_DTno_ELM_donnee.pdf
04.02.2025 13:02:19 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2014_DTno_IEL_corrige.pdf
04.02.2025 13:02:19 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2014_DTno_IEL_donnee.pdf
04.02.2025 13:02:19 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2014_DTpl_ELM_corrige.pdf
04.02.2025 13:02:20 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2014_DTpl_ELM_donnee.pdf
04.02.2025 13:02:20 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2014_DTpl_IEL_corrige.pdf
04.02.2025 13:02:20 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2014_DTpl_IEL_donnee.pdf
04.02.2025 13:02:21 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2014_DTsc_ELM_corrige.pdf
04.02.2025 13:02:21 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2014_DTsc_ELM_donnee.pdf
04.02.2025 13:02:21 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2014_DTsc_IEL_corrige.pdf
04.02.2025 13:02:21 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2014_DTsc_IEL_donnee.pdf
04.02.2025 13:02:22 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2014_DT_PELE_corrige.pdf
04.02.2025 13:02:22 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2014_DT_PELE_donnee.pdf
04.02.2025 13:02:22 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2014_DT_TLM_corrige.pdf
04.02.2025 13:02:23 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2014_DT_TLM_donnee.pdf
04.02.2025 13:02:24 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2014_TC_IEL_corrige.pdf
